timestamp,vm_id,cpu_usage,memory_usage,disk_io,network_io,request_rate,response_time
2022-01-01 00:44:00,vm_6,24.28,0.23,464.04,129.55,581,508.29
2022-01-01 00:45:00,vm_3,20.39,1.16,124.61,139,791,859.69
2022-01-01 00:46:00,vm_4,12.54,21.84,372.62,537.13,1788,921.7
2022-01-01 00:47:00,vm_3,20.24,15.62,382.98,340.52,1055,154.28
2022-01-01 00:48:00,vm_2,84.45,11.49,11.69,884.84,1666,397.74
2022-01-01 00:49:00,vm_1,92.12,9.57,270.7,977.12,187,409.39
2022-01-01 00:50:00,vm_6,97.82,18.96,453.77,348.7,1144,867.07
2022-01-01 00:51:00,vm_9,20.67,1.34,182.04,951.23,1464,839.62
2022-01-01 00:52:00,vm_7,30.52,26.13,420.23,454.02,1981,964.76
2022-01-01 00:53:00,vm_4,51.48,22.28,176.45,581.83,1208,245.49
2022-01-01 00:54:00,vm_1,49.75,28.77,400.73,320.35,157,806.32
2022-01-01 00:55:00,vm_7,17.16,10.99,410.72,303.86,1997,951.21
2022-01-01 00:56:00,vm_1,5.35,4.84,178.48,748.1,1452,953.89
2022-01-01 00:57:00,vm_1,37.85,4.09,263.81,834.98,449,832.98
2022-01-01 00:58:00,vm_3,55.29,11.01,251.46,466.4,1680,274.26
2022-01-01 00:59:00,vm_10,35.69,28.88,149.67,68.6,63,706.03
2022-01-01 01:00:00,vm_4,29.74,23.35,107.3,68.51,1339,473.39
2022-01-01 01:01:00,vm_9,75.61,16.69,341.34,321.24,745,908.48
2022-01-01 01:02:00,vm_8,75.02,9.03,236.36,727.04,1816,838.27
2022-01-01 01:03:00,vm_6,3.32,22.47,142.03,835.51,956,554.27
2022-01-01 01:04:00,vm_9,79.97,29.92,225.3,849.54,1775,616.82
2022-01-01 01:05:00,vm_8,23.61,22.51,451.63,16.55,1605,907.77
2022-01-01 01:06:00,vm_6,73.79,26.57,398.64,92.61,1574,18.47
2022-01-01 01:07:00,vm_8,10.64,4.59,280.17,926.41,1597,863.6
2022-01-01 01:08:00,vm_2,48.42,3.82,378.33,973.43,1006,922.47
2022-01-01 01:09:00,vm_4,16.98,2.1,472.88,763.6,352,617.69
2022-01-01 01:10:00,vm_3,18.67,15.89,133.77,891.37,1806,366.6
2022-01-01 01:11:00,vm_8,0.24,1.31,248.98,584.24,1884,346.55
2022-01-01 01:12:00,vm_6,38.57,13.54,404.24,798.12,1549,124.17
2022-01-01 01:13:00,vm_8,79.95,10.47,207.97,142.56,821,149
2022-01-01 01:14:00,vm_10,56.35,0.12,129.86,885.95,406,476.99
2022-01-01 01:15:00,vm_4,29.87,22.28,61.64,497.95,1240,151.13
2022-01-01 01:16:00,vm_9,54.65,10.83,455.04,597.9,905,512.81
2022-01-01 01:17:00,vm_8,86.89,22.04,400.87,772.15,1681,885.33
2022-01-01 01:18:00,vm_7,22.19,3.53,190.03,209.99,736,516.81
2022-01-01 01:19:00,vm_3,13.79,19.3,274.26,650.52,1645,811.56
2022-01-01 01:20:00,vm_3,53.69,27.31,243.38,605.63,913,820.04
2022-01-01 01:21:00,vm_5,98.04,4.68,458.86,243.4,1034,974.59
2022-01-01 01:22:00,vm_1,92.21,5.08,15.26,342.6,1309,553.4
2022-01-01 01:23:00,vm_10,43.6,11.55,7.33,237.22,1307,715.87
2022-01-01 01:24:00,vm_2,49.41,3.53,180.31,184.08,912,982.65
2022-01-01 01:25:00,vm_8,26.42,23.58,469.78,406.93,995,577.63
2022-01-01 01:26:00,vm_6,18.07,0.13,283.72,645.71,425,637.82
2022-01-01 01:27:00,vm_2,71.71,29.34,38.35,188.18,587,320.94
2022-01-01 01:28:00,vm_10,77.39,12.11,424.18,529.88,98,442.98
2022-01-01 01:29:00,vm_7,80.75,18.34,65.17,821.92,1658,228.35
2022-01-01 01:30:00,vm_1,68.79,21.68,455.47,450.54,1682,633.1
2022-01-01 01:31:00,vm_4,1.32,21.62,170.94,547.83,1933,609.48
2022-01-01 01:32:00,vm_2,98.15,30.25,50.06,699.55,962,108.09
2022-01-01 01:33:00,vm_1,38.18,24.35,325.31,579.36,1232,931.56
2022-01-01 01:34:00,vm_3,17.82,28.99,299.52,710.49,1838,327.3
2022-01-01 01:35:00,vm_4,45.49,29.49,98.29,694.48,1843,0.45
2022-01-01 01:36:00,vm_7,31.61,5.41,480.11,329.15,335,835.41
2022-01-01 01:37:00,vm_8,71.27,27.7,414.67,962.92,1510,88.29
2022-01-01 01:38:00,vm_7,9.41,3.94,196.33,325.57,1786,221.44
2022-01-01 01:39:00,vm_2,6.26,12.14,98.92,211.98,1853,614
